level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,0,2630,1987,878,95, 
5,1,2,1,1,1,1177,173,246,73,96,Abstract
5,1,3,1,1,1,1737,259,80,38,35,ition
5,1,3,1,2,1,793,352,136,36,96,Siamese
5,1,3,1,2,2,943,338,113,41,96,Neural
5,1,3,1,2,3,1070,323,161,48,96,Networks
5,1,3,1,2,4,1247,319,45,37,96,for
5,1,3,1,2,5,1307,301,163,49,91,One-Shot
5,1,3,1,2,6,1486,294,107,38,96,Image
5,1,3,1,2,7,1591,270,152,65,41,Recog™
5,1,3,1,3,1,1176,422,139,57,96,Gregory
5,1,3,1,3,2,1330,408,90,59,95,Koch
5,1,3,1,4,1,1145,506,119,37,96,Master
5,1,3,1,4,2,1277,493,37,39,96,of
5,1,3,1,4,3,1323,488,126,39,96,Science
5,1,3,1,5,1,920,581,161,38,96,Graduate
5,1,3,1,5,2,1096,570,204,49,96,Department
5,1,3,1,5,3,1315,557,35,39,96,of
5,1,3,1,5,4,1361,550,174,42,96,Computer
5,1,3,1,5,5,1549,537,129,38,96,Science
5,1,3,1,6,1,1111,636,174,42,96,University
5,1,3,1,6,2,1298,628,36,37,96,of
5,1,3,1,6,3,1344,622,137,39,94,Toronto
5,1,3,1,7,1,1255,698,77,38,96,2015
5,1,4,1,1,1,2084,0,396,3252,95,   
5,1,5,1,1,1,1820,784,74,52,95,very
5,1,5,1,1,2,1894,782,85,39,96,com
5,1,5,1,1,3,1970,755,225,69,78,putationally
5,1,6,1,1,1,1501,814,165,49,96,plications
5,1,6,1,1,2,1684,813,60,27,95,can
5,1,6,1,1,3,1763,798,39,34,95,be
5,1,6,1,2,1,2135,852,64,39,93,this
5,1,7,1,1,1,1773,873,134,61,93,otypical
5,1,7,1,1,2,1925,863,147,48,96,example
5,1,7,1,1,3,2085,856,38,39,96,of
5,1,7,1,2,1,2019,969,18,25,83,e
5,1,7,1,2,2,2048,944,148,46,96,example
5,1,8,1,1,1,406,856,67,33,95,The
5,1,8,1,1,2,491,862,122,34,92,process
5,1,8,1,1,3,629,851,36,34,89,of
5,1,8,1,1,4,679,850,137,40,89,learning
5,1,8,1,1,5,831,847,82,43,96,good
5,1,8,1,1,6,932,846,133,33,96,features
5,1,8,1,1,7,1083,842,45,34,96,for
5,1,8,1,1,8,1146,838,140,36,96,machine
5,1,8,1,1,9,1304,829,139,39,84,learning
5,1,8,1,1,10,1459,831,41,34,62,ap
5,1,8,1,2,1,1254,922,79,36,86,little
5,1,8,1,2,2,1345,920,78,34,93,data
5,1,8,1,2,3,1437,915,25,34,96,is
5,1,8,1,2,4,1476,903,160,43,96,available.
5,1,8,1,2,5,1656,897,29,37,96,A
5,1,8,1,2,6,1699,897,72,42,95,prot
5,1,9,1,1,1,405,941,164,40,96,expensive
5,1,9,1,1,2,583,938,61,33,96,and
5,1,9,1,1,3,660,947,71,30,96,may
5,1,9,1,1,4,745,945,92,32,96,prove
5,1,9,1,1,5,850,932,130,35,74,difficult
5,1,9,1,1,6,996,932,29,32,96,in
5,1,9,1,1,7,1040,939,84,25,96,cases
5,1,9,1,1,8,1122,924,116,49,96,where
5,1,9,1,2,1,1595,992,112,36,85,ictions
5,1,9,1,2,2,1717,985,92,44,96,given
5,1,9,1,2,3,1820,973,75,43,96,only
5,1,9,1,2,4,1907,980,21,24,75,4
